ItemCode,Brand,Care,co2,water,land,MainImage
P453.316,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.316__B_1__0252e34b60ca4dad8b101fef2e8639bd.jpg
P453.317,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.317__B_1__7d079966d80c457eba7306e083750eac.jpg
P453.319,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.319__B_1__e425f4399b8c4a40bb2fee57e84b1039.jpg
P453.321,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.321__B_1__42d69eb0afef48b4b8e91dd802e8209b.jpg
P453.323,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.323__B_1__c7a11537f2e04028a69ee81cf76229b0.jpg
P453.324,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.324__B_1__44ce32505ee943028fc1a534b7c88abe.jpg
P453.325,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.325__B_1__7dd7987fca884128afb8b2c6711c078c.jpg
P453.326,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.326__B_1__3cd9f3ef730544d28deb929aaabd7fb7.jpg
P453.327,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.327__B_1__3b918e8b5cdd446dbdfb962b451feace.jpg
P453.329,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.329__B_1__4d2fa05712b64c6d9cef14df09bc2367.jpg
P453.331,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.331__B_1__d2955bec1ab64d288a574e70ea77d583.jpg
P453.333,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.333__B_1__2dea6ba8146b4283ae94974c2331b0c0.jpg
P453.334,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.334__B_1__da33ce807f8a4198beb1a08e448fa9c8.jpg
P453.335,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.335__B_1__d0f072804b334ba39ec907ff41698fce.jpg
P453.336,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.336__B_1__21d078ca723f4c778e53317bbf587e10.jpg
P453.337,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.337__B_1__3ba4f7806c7e4ca38922ddd3db1bf19d.jpg
P453.339,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.339__B_1__7d9bb1155def47d7986afa93994e4675.jpg
P453.340,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.340__B_1__89750793f0d74b80aaa107d3ffc5cae4.jpg
P453.341,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.341__B_1__cece8494a66f400993c8650000b0473b.jpg
P453.3410,66d5aed1ff025cb3bad4ea10,,0.44,0,0,
P453.3419,66d5aed1ff025cb3bad4ea10,,0.44,0,0,
P453.342,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.342__B_1__a310ebf53f654c15959cf6c9a127b5b9.jpg
P453.3425,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.3425__B_1__9207245c1a0a47829ac0b760b02e4c14.jpg
P453.343,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.343__B_1__62a20151ff0c428290b8e5a709ae60ad.jpg
P453.344,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.344__B_1__48244f5fbb4f490dafeb84479c350aaf.jpg
P453.345,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.345__B_1__d51acea369c04aa5bc9b32a93ea863b0.jpg
P453.346,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.346__B_1__5c35d13f3dda402b96e36ec9a7b60205.jpg
P453.347,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.347__B_1__bdddd262155c4b7ca39c6d2f5f93ebc4.jpg
P453.351,66d5aed1ff025cb3bad4ea10,,0.37,,,P453.351__B_1__57ef5bb19b3c4341b07ff0438239390e.jpg
P453.353,66d5aed1ff025cb3bad4ea10,,0.37,,,P453.353__B_1__abd13d9833e84681bf4021d9ee5bfbf2.jpg
P453.354,66d5aed1ff025cb3bad4ea10,,0.37,,,P453.354__B_1__45397133da964c69b67776664498974c.jpg
P453.355,66d5aed1ff025cb3bad4ea10,,0.37,0,0,
P453.359,66d5aed1ff025cb3bad4ea10,,0.37,,,P453.359__B_1__cd00baf7e194441eb91837d9ffee5479.jpg
P453.361,66d5aed1ff025cb3bad4ea10,,0.59,,,P453.361__B_1__3eea7a906e5d4717999788b08a4b9301.jpg
P453.363,66d5aed1ff025cb3bad4ea10,,0.59,,,P453.363__B_1__b983a975467241489224077caba6bb63.jpg
P453.364,66d5aed1ff025cb3bad4ea10,,0.59,,,P453.364__B_1__2fb40dc8a7f64967a4d5d8d3847fc8ff.jpg
P453.365,66d5aed1ff025cb3bad4ea10,,0.59,,,P453.365__B_1__f592046eab4041d08f60529b6d716e14.jpg
P453.369,66d5aed1ff025cb3bad4ea10,,0.59,,,P453.369__B_1__0494ce173ba74b35a1082d76a2bbdd3e.jpg
P453.371,66d5aed1ff025cb3bad4ea10,,0.28,,,P453.371__B_1__706e6cc5b1464a5bbb0d78e5d56ea4b4.jpg
P453.372,66d5aed1ff025cb3bad4ea10,,0.28,,,P453.372__B_1__1b587673867741469fc4d3b033bb4fa3.jpg
P453.379,66d5aed1ff025cb3bad4ea10,,0.28,,,P453.379__B_1__6244db85aeb64934a67d35b3a4a5d30f.jpg
P453.3801,66d5aed1ff025cb3bad4ea10,,0.5,,,P453.3801__B_1__e127cff27d8d4484bc3c4b0e61617ef5.jpg
P453.3802,66d5aed1ff025cb3bad4ea10,,0.5,,,P453.3802__B_1__e60d526d354942aa96150d62a0730af7.jpg
P453.3819,66d5aed1ff025cb3bad4ea10,,0.5,,,P453.3819__B_1__387c64f19ce64f8ba21b4b299828786f.jpg
P453.3825,66d5aed1ff025cb3bad4ea10,,0.5,,,P453.3825__B_1__98c63944e3b846a4b5bd49e85fcebac6.jpg
P453.391,66d5aed1ff025cb3bad4ea10,,0.56,,,P453.391__B_1__444991cdb405446abe1f5cda1a2c14e8.jpg
P453.392,66d5aed1ff025cb3bad4ea10,,0.56,,,P453.392__B_1__90c44112558c478b8e93ae04e3b1b4b9.jpg
P453.3925,66d5aed1ff025cb3bad4ea10,,0.56,,,P453.3925__B_1__7c4ae1ff821449cb98efe4a93a3dcf45.jpg
P453.395,66d5aed1ff025cb3bad4ea10,,0.56,,,P453.395__B_1__2543eca65ffc473bb753e2e691a7fe4f.jpg
P453.397,66d5aed1ff025cb3bad4ea10,,0.56,,,P453.397__B_1__20c845b8be304eb1a2e657c4b1586c93.jpg
P453.441,66d5aed1ff025cb3bad4ea10,,1.27,,,P453.441__B_1__c9a2ccd957c74715a1fa14a0b38d40a8.jpg
P453.442,66d5aed1ff025cb3bad4ea10,,1.27,,,P453.442__B_1__19adf06b7fd34741ac7382dc0bdc9809.jpg
P453.4425,66d5aed1ff025cb3bad4ea10,,1.27,,,P453.4425__B_1__3c94a27ddcf9426bb621b77e9d9bac2d.jpg
P453.445,66d5aed1ff025cb3bad4ea10,,1.27,,,P453.445__B_1__3c4a3158c5b442e6b898b8e5bd78d885.jpg
P453.447,66d5aed1ff025cb3bad4ea10,,1.27,,,P453.447__B_1__c09dfc33f9334ef88e0714ab06400665.jpg
P453.460,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.460__B_1__dc7e7aa6f1cd4071b153c07313169007.jpg
P453.464,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.464__B_1__5efbea96b44e46989c74301c6364e217.jpg
P453.465,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.465__B_1__34774f4df8874ef89693634f8d394f3f.jpg
P453.467,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.467__B_1__95c9aff8d32343309ac80856aa51d08f.jpg
P453.468,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.468__B_1__101f3ffc753f4982a56b142533c14ceb.jpg
P453.470,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.470__B_1__b9c444c189b74ee7b5d59585d354f98c.jpg
P453.474,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.474__B_1__1fcc924c908b45baab8416a5609ffe9b.jpg
P453.475,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.475__B_1__3d0f23bdce854fb7ad7f620aedde3a36.jpg
P453.477,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.477__B_1__a8c9ce9c321246689a3b42fc5c13c603.jpg
P453.478,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.478__B_1__15f4479e8e00471bae7ee5efbc106976.jpg
P453.480,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.480__B_1__37b56042be354b809a03c5871c53e837.jpg
P453.484,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.484__B_1__f958e3556193426586dcbaa9761f4298.jpg
P453.485,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.485__B_1__c129c19bdf8346ef89f3ca8c447f1514.jpg
P453.487,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.487__B_1__a7fa525debba43608f2f9c59952c3218.jpg
P453.488,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.488__B_1__5fe90f6b81f749d185014456bdad4a5c.jpg
P453.4901,66d5aed1ff025cb3bad4ea10,,0.39,,,P453.4901__B_1__493353325dc24e3cbff1386573c32fe1.jpg
